date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:43	45913/45913	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2004:39:42%20GMT	https://aiesec.jp/robots.txt		(from )
13:39:43	365713/365713	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2004:39:43%20GMT	https://aiesec.jp/?utm_source	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/indexc73a.html	(from )
13:39:44	33944/33944	---M--	200	added ('OK')	image/png	etag:%229887e0403f6cb2bcd1ac73265c0f9367%22	https://aiesec.jp/images/ogp.png	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/images/ogp.png	(from https://aiesec.jp/?utm_source)
13:39:44	4286/4286	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%227280199892351de2636eed46dbe11b33%22	https://aiesec.jp/favicon.ico	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/favicon.ico	(from https://aiesec.jp/?utm_source)
13:39:46	4346/4346	---MCZ	200	added ('OK')	application/javascript	etag:W/%2283e21c2b083c14eea44e7772d5d81e70%22	https://aiesec.jp/_nuxt/fdbeb14.js	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/fdbeb14.js	(from https://aiesec.jp/?utm_source)
13:39:48	212689/212689	---MCZ	200	added ('OK')	application/javascript	etag:W/%220a82c350883c380e90114a7ea73fb870%22	https://aiesec.jp/_nuxt/0720aa7.js	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/0720aa7.js	(from https://aiesec.jp/?utm_source)
13:39:48	386823/386823	---MCZ	200	added ('OK')	application/javascript	etag:W/%226291c87029dcd898f4cf64b2de945afb%22	https://aiesec.jp/_nuxt/a06ddf8.js	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/a06ddf8.js	(from https://aiesec.jp/?utm_source)
13:39:50	47183/47183	---MCZ	200	added ('OK')	application/javascript	etag:W/%22817636ea0492e81aea0565cfca4bf47d%22	https://aiesec.jp/_nuxt/6337782.js	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/6337782.js	(from https://aiesec.jp/?utm_source)
13:39:50	100627/100627	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d455f4486f36095804a8abdce62c56fb%22	https://aiesec.jp/_nuxt/9d1906c.js	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/9d1906c.js	(from https://aiesec.jp/?utm_source)
13:39:51	41336/41336	---MCZ	200	added ('OK')	application/javascript	etag:W/%226af2fff228cb94e661887a09c9af038b%22	https://aiesec.jp/_nuxt/15f3466.js	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/15f3466.js	(from https://aiesec.jp/?utm_source)
13:39:54	4033899/4033899	---M--	200	added ('OK')	image/png	etag:%226b85ed646deb0ccd49b69ad6f6cf2b7b%22	https://aiesec.jp/_nuxt/img/top-kv.049e9f7.png	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/img/top-kv.049e9f7.png	(from https://aiesec.jp/?utm_source)
13:39:55	4993404/4993404	---MCZ	200	added ('OK')	font/otf	etag:W/%226fb11bce6ed47f34bc229c44241094bd%22	https://aiesec.jp/_nuxt/fonts/TsukuGo%20Pro-B.2759183.otf	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/fonts/TsukuGo%20Pro-B.2759183.otf	(from https://aiesec.jp/?utm_source)
13:39:55	1318104/1318104	---M--	200	added ('OK')	image/png	etag:%2222cbde6399d9a5eb09012aa524a60161%22	https://aiesec.jp/_nuxt/img/top-about.e7be892.png	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/img/top-about.e7be892.png	(from https://aiesec.jp/?utm_source)
13:39:55	1192538/1192538	---M--	200	added ('OK')	image/png	etag:%22d1a3fd6aaa83b411dbe8db0198f1100c%22	https://aiesec.jp/_nuxt/img/GlobalYouthDialogueTop.70ed8b4.png	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/img/GlobalYouthDialogueTop.70ed8b4.png	(from https://aiesec.jp/?utm_source)
13:39:57	1283112/1283112	---M--	200	added ('OK')	image/png	etag:%22205a4cebc4bd8192e11e31ae431ff677%22	https://aiesec.jp/_nuxt/img/incomingTop.01b2790.png	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/img/incomingTop.01b2790.png	(from https://aiesec.jp/?utm_source)
13:39:58	5912982/5912982	---M--	200	added ('OK')	image/png	etag:%227502045beb4b05bfb93fa40f29be9bce%22	https://aiesec.jp/_nuxt/img/outgoingTop.87276fa.png	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/img/outgoingTop.87276fa.png	(from https://aiesec.jp/?utm_source)
13:39:58	37932/37932	---M--	200	added ('OK')	image/jpeg	etag:%22a36c75e999fec06085e9650e2e2a83fc%22	https://aiesec.jp/_nuxt/img/slide1.e94fb4b.jpg	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/img/slide1.e94fb4b.jpg	(from https://aiesec.jp/?utm_source)
13:39:59	41834/41834	---M--	200	added ('OK')	image/jpeg	etag:%22767a22829f260b17b6b39db4588fdad5%22	https://aiesec.jp/_nuxt/img/slide6.2fb824c.jpg	/Users/kousaiyamamoto/HP-Riki/aiesec.jp/_nuxt/img/slide6.2fb824c.jpg	(from https://aiesec.jp/?utm_source)
